City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Coundry,Date
moose factory,51.2585,-80.6094,21.2,93,90,0.0,CA,1638145115
puerto ayora,-0.7393,-90.3518,69.71,81,78,11.32,EC,1638145116
bluff,-46.6,168.3333,57.6,69,43,19.71,NZ,1638145116
port elizabeth,-33.918,25.5701,62.89,88,0,10.36,ZA,1638145117
busselton,-33.65,115.3333,65.84,67,63,8.05,AU,1638145117
cape town,-33.9258,18.4232,61.21,100,75,4.61,ZA,1638145118
mar del plata,-38.0023,-57.5575,62.62,100,90,8.05,AR,1638144847
upernavik,72.7868,-56.1549,-8.52,75,13,9.13,GL,1638145118
ugoofaaru,5.6667,73.0,79.72,80,98,10.04,MV,1638145119
rikitea,-23.1203,-134.9692,76.96,73,6,19.75,PF,1638145119
urucara,-2.5364,-57.76,80.98,74,100,1.48,BR,1638145120
new norfolk,-42.7826,147.0587,63.9,46,85,2.98,AU,1638145120
geraldton,-28.7667,114.6,73.81,68,90,14.97,AU,1638145120
tasiilaq,65.6145,-37.6368,28.56,95,99,5.93,GL,1638145121
qaanaaq,77.484,-69.3632,-7.94,70,19,8.37,GL,1638145121
torbay,47.6666,-52.7314,41.77,87,20,9.22,CA,1638145122
hithadhoo,-0.6,73.0833,81.41,76,80,19.1,MV,1638145122
luderitz,-26.6481,15.1594,59.9,84,37,7.25,NA,1638145123
khed brahma,24.0333,73.05,66.96,46,83,5.5,IN,1638145123
albany,42.6001,-73.9662,30.85,96,86,0.67,US,1638145113
magaria,12.9983,8.9099,72.03,15,80,8.97,NE,1638145034
hami,42.8,93.45,23.81,55,0,4.5,CN,1638145124
punta arenas,-53.15,-70.9167,44.71,70,75,31.07,CL,1638145124
ribeira grande,38.5167,-28.7,62.08,63,95,5.12,PT,1638145125
vestmannaeyjar,63.4427,-20.2734,45.21,92,100,16.73,IS,1638145125
pierre,44.3683,-100.351,45.52,57,90,6.91,US,1638144689
mount gambier,-37.8333,140.7667,75.11,31,0,5.35,AU,1638145126
atuona,-9.8,-139.0333,78.6,71,2,17.02,PF,1638145126
narsaq,60.9167,-46.05,37.62,99,100,2.59,GL,1638145127
lebu,-37.6167,-73.65,53.24,78,7,18.88,CL,1638144967
jamestown,42.097,-79.2353,35.19,100,90,6.91,US,1638145061
bethanien,-26.502,17.1583,65.25,38,0,3.04,NA,1638145127
ushuaia,-54.8,-68.3,40.66,81,75,24.16,AR,1638145128
anadyr,64.75,177.4833,3.7,85,90,4.47,RU,1638145128
port alfred,-33.5906,26.891,64.87,81,27,12.01,ZA,1638145129
kalaleh,37.3807,55.4916,49.6,66,0,0.0,IR,1638145129
bambous virieux,-20.3428,57.7575,71.85,88,40,4.61,MU,1638145129
sokolo,14.7328,-6.1219,79.75,20,3,10.58,ML,1638145130
atikokan,48.7555,-91.6216,18.48,94,94,3.69,CA,1638145130
victoria,22.2855,114.1577,69.85,58,32,6.96,HK,1638144987
saint-philippe,-21.3585,55.7679,74.79,84,38,5.08,RE,1638145131
wiarton,44.7407,-81.1332,28.85,100,90,8.05,CA,1638145131
bredasdorp,-34.5322,20.0403,62.28,81,54,4.27,ZA,1638145132
narrabri,-30.3167,149.7833,75.34,65,90,6.93,AU,1638144890
mataura,-46.1927,168.8643,69.89,26,61,6.17,NZ,1638145132
lavrentiya,65.5833,-171.0,-12.42,90,5,7.67,RU,1638145193
cherskiy,68.75,161.3,-16.2,98,100,6.11,RU,1638145193
coahuayana,18.7333,-103.6833,87.28,69,1,3.42,MX,1638145194
nalut,30.3333,10.85,50.79,66,14,16.69,LY,1638145194
husavik,66.0449,-17.3389,30.11,97,100,2.3,IS,1638144969
nouna,12.7333,-3.8667,78.44,15,100,5.55,BF,1638144919
pevek,69.7008,170.3133,2.23,95,100,1.39,RU,1638145122
dauphin,51.1494,-100.0502,24.94,74,90,14.97,CA,1638145195
vaini,-21.2,-175.2,82.56,78,40,12.66,TO,1638145196
alice springs,-23.7,133.8833,78.35,29,0,12.66,AU,1638145196
kahului,20.8947,-156.47,84.22,54,40,23.02,US,1638144957
kapaa,22.0752,-159.319,82.38,61,75,18.41,US,1638145111
seoul,37.5683,126.9778,44.04,75,75,1.14,KR,1638145069
mukerian,31.9506,75.6158,55.47,53,0,3.22,IN,1638145197
vila velha,-20.3297,-40.2925,71.55,88,40,9.22,BR,1638145197
zhanaozen,43.3,52.8,38.61,43,53,9.78,KZ,1638145198
nanortalik,60.1432,-45.2371,39.16,98,100,9.91,GL,1638145198
katsuura,35.1333,140.3,48.31,52,24,4.5,JP,1638145199
saint-augustin,51.226,-58.6502,34.63,83,96,21.94,CA,1638145070
hilo,19.7297,-155.09,80.33,61,75,12.66,US,1638145025
padang,-0.9492,100.3543,77.05,84,80,2.62,ID,1638145003
pascagoula,30.3658,-88.5561,57.25,88,90,0.0,US,1638145117
riyadh,24.6877,46.7219,57.34,35,0,6.24,SA,1638145200
kholtoson,50.2981,103.3097,3.0,93,88,3.02,RU,1638145200
osakarovka,50.565,72.5692,9.75,62,12,7.11,KZ,1638145201
cape canaveral,28.4058,-80.6048,64.65,54,40,4.61,US,1638145201
ust-nera,64.5667,143.2,-11.65,99,100,3.09,RU,1638145202
camacha,33.0833,-16.3333,60.22,72,40,13.8,PT,1638145202
nianzishan,47.5167,122.8833,11.64,86,16,4.74,CN,1638145203
eyl,7.9803,49.8164,75.24,73,50,12.8,SO,1638145203
east london,-33.0153,27.9116,66.63,76,16,6.58,ZA,1638145203
saint-pierre,-21.3393,55.4781,74.88,83,40,3.44,RE,1638145204
hermanus,-34.4187,19.2345,62.38,87,83,6.22,ZA,1638145139
oranjemund,-28.55,16.4333,61.2,92,78,3.2,NA,1638145204
pahrump,36.2083,-115.9839,71.65,16,0,1.52,US,1638145205
longyearbyen,78.2186,15.6401,10.24,61,75,18.41,SJ,1638145205
coruripe,-10.1256,-36.1756,78.3,85,86,8.97,BR,1638145206
helena,46.5927,-112.0361,56.39,35,1,9.22,US,1638144911
port blair,11.6667,92.75,78.82,80,24,8.37,IN,1638145206
ninotsminda,41.2646,43.5916,28.85,93,76,5.84,GE,1638145206
leninsk,48.7119,45.1994,42.66,94,81,9.22,RU,1638145207
airai,-8.9266,125.4092,69.15,71,100,0.69,TL,1638145207
coihaique,-45.5752,-72.0662,55.35,50,75,8.05,CL,1638144989
cardston,49.2,-113.3019,55.49,38,96,24.16,CA,1638145208
arraial do cabo,-22.9661,-42.0278,73.4,86,19,5.66,BR,1638145209
kud,33.0833,75.2833,36.48,42,0,8.79,IN,1638145209
olafsvik,64.8945,-23.7142,38.48,92,97,10.49,IS,1638145061
norman wells,65.282,-126.8329,-16.56,69,90,14.97,CA,1638145270
talnakh,69.4865,88.3972,-16.98,100,86,3.78,RU,1638145270
caravelas,-17.7125,-39.2481,75.06,93,45,11.99,BR,1638145271
alvaraes,-3.2208,-64.8042,74.1,97,99,1.34,BR,1638145271
isangel,-19.55,169.2667,83.53,70,72,9.24,VU,1638145272
khatanga,71.9667,102.5,-7.28,98,100,8.77,RU,1638145121
kodiak,57.79,-152.4072,9.91,52,1,8.05,US,1638145149
moctezuma,29.8,-109.6667,71.49,27,0,4.21,MX,1638145273
chunskiy,56.0815,99.6342,21.42,91,100,13.4,RU,1638145273
mont-dore,-22.2833,166.5833,85.98,70,69,12.64,NC,1638145274
severo-kurilsk,50.6789,156.125,33.98,77,100,17.29,RU,1638145274
hauterive,46.0901,3.4459,36.36,93,100,9.31,FR,1638145275
rosetta,31.4044,30.4164,69.64,57,97,7.76,EG,1638145275
port hardy,50.6996,-127.4199,48.38,100,90,3.44,CA,1638145276
turtas,58.9417,69.1325,21.74,80,99,9.53,RU,1638145276
chuy,-33.6971,-53.4616,64.26,96,100,3.87,UY,1638145062
flinders,-34.5833,150.8552,64.42,63,73,3.8,AU,1638145277
nikolskoye,59.7035,30.7861,21.09,91,94,6.02,RU,1638145277
grand gaube,-20.0064,57.6608,72.0,69,4,6.87,MU,1638145277
kenai,60.5544,-151.2583,5.09,78,90,10.36,US,1638145278
freeport,40.6576,-73.5832,39.69,78,1,4.61,US,1638145262
avera,33.194,-82.5271,53.47,49,95,8.03,US,1638145279
itarema,-2.9248,-39.9167,80.83,78,57,15.03,BR,1638145279
chumikan,54.7183,135.315,-3.64,90,61,7.87,RU,1638145129
quzhou,28.9594,118.8686,56.77,90,40,3.2,CN,1638145280
otumba,19.7,-98.75,68.2,66,47,10.04,MX,1638145281
mimongo,-1.6195,11.6068,69.03,97,74,1.28,GA,1638145281
hobart,-42.8794,147.3294,64.26,63,20,10.36,AU,1638145017
sorland,67.667,12.6934,33.82,47,100,15.48,NO,1638145282
mangai,-4.05,19.5333,68.65,98,94,1.68,CD,1638145282
vanimo,-2.6741,141.3028,84.76,70,89,2.44,PG,1638145283
kaitangata,-46.2817,169.8464,69.33,29,75,7.23,NZ,1638145284
dickson,36.077,-87.3878,47.34,49,20,6.91,US,1638145284
yellowknife,62.456,-114.3525,18.12,100,90,10.36,CA,1638145285
sao joao da barra,-21.6403,-41.0511,73.35,89,88,3.4,BR,1638145285
kuytun,54.3419,101.5036,19.54,83,100,10.49,RU,1638145286
malkangiri,18.35,81.9,66.76,72,94,2.86,IN,1638145286
wum,6.3833,10.0667,65.12,53,99,4.18,CM,1638145286
krasnoselkup,65.7,82.4667,-21.42,100,84,4.18,RU,1638145287
oussouye,12.485,-16.5469,78.89,59,64,5.14,SN,1638145287
sambava,-14.2667,50.1667,74.41,88,25,7.0,MG,1638145288
grindavik,63.8424,-22.4338,41.47,100,90,12.66,IS,1638145288
ponta delgada,37.7333,-25.6667,59.72,77,75,8.05,PT,1638145067
penco,-36.7333,-72.9833,56.25,62,0,18.41,CL,1638145288
georgetown,5.4112,100.3354,76.93,94,20,0.0,MY,1638145165
umm lajj,25.0213,37.2685,82.76,38,17,10.07,SA,1638145349
salvador,13.8333,-88.9167,78.84,63,27,0.29,SV,1638145350
leh,34.1667,77.5833,12.69,66,0,2.28,IN,1638145351
esmeraldas,-19.7625,-44.3139,76.06,82,55,1.59,BR,1638145351
nelson bay,-32.7167,152.15,68.05,71,99,6.42,AU,1638145352
verkhnyaya sysert,56.4372,60.75,26.4,50,99,7.85,RU,1638145352
srandakan,-7.9386,110.2506,76.48,87,100,1.88,ID,1638145352
kavieng,-2.5744,150.7967,83.59,74,83,8.66,PG,1638145261
carmen,18.6333,-91.8333,78.84,73,75,8.05,MX,1638145353
chekmagush,55.1319,54.6556,29.75,94,100,10.67,RU,1638145353
ponta do sol,32.6667,-17.1,63.23,76,18,8.68,PT,1638145354
dorgos,46.05,21.8333,44.06,90,100,9.69,RO,1638145354
bend,44.0582,-121.3153,62.46,34,1,8.05,US,1638145354
barrow,71.2906,-156.7887,-14.78,70,20,11.5,US,1638145057
codrington,-38.2667,141.9667,71.92,45,0,2.64,AU,1638145174
kruisfontein,-34.0033,24.7314,60.91,83,2,11.48,ZA,1638145356
saskylakh,71.9167,114.0833,-21.14,100,99,4.99,RU,1638145356
constitucion,-35.3333,-72.4167,55.89,72,6,17.27,CL,1638145336
meulaboh,4.1363,96.1285,74.8,89,100,3.49,ID,1638145357
san carlos,9.6612,-68.5827,76.12,84,99,4.29,VE,1638145062
opuwo,-18.0607,13.84,67.19,27,77,3.36,NA,1638145358
poum,-20.2333,164.0167,80.71,74,22,1.61,NC,1638145358
klaksvik,62.2266,-6.589,34.72,72,100,5.37,FO,1638145358
tuktoyaktuk,69.4541,-133.0374,-11.2,77,90,17.27,CA,1638145359
fergus falls,46.283,-96.0776,33.78,60,90,11.5,US,1638145360
thompson,55.7435,-97.8558,-2.04,84,75,2.3,CA,1638145140
kaitong,44.8135,123.15,18.91,89,82,3.04,CN,1638145360
fereydun kenar,36.6864,52.5225,58.1,64,7,2.62,IR,1638145361
nome,64.5011,-165.4064,-19.5,98,23,4.52,US,1638145361
pisco,-13.7,-76.2167,66.25,82,0,13.8,PE,1638145187
hamilton,39.1834,-84.5333,36.84,53,1,16.11,US,1638145088
dunedin,-45.8742,170.5036,64.04,53,82,5.59,NZ,1638145068
evensk,61.95,159.2333,16.34,94,100,2.89,RU,1638145210
alofi,-19.0595,-169.9187,82.29,54,9,16.11,NU,1638145219
cobija,-11.0267,-68.7692,74.46,93,100,3.33,BO,1638145363
sioux lookout,50.1001,-91.917,23.38,73,90,6.91,CA,1638145294
korla,41.7597,86.1469,22.05,70,1,3.22,CN,1638145364
northam,51.0333,-4.2167,37.78,77,39,8.97,GB,1638145364
chokurdakh,70.6333,147.9167,-39.17,100,87,1.36,RU,1638145135
huilong,31.8111,121.655,59.05,88,81,4.97,CN,1638145365
sitka,57.0531,-135.33,33.69,80,75,16.11,US,1638145365
namibe,-15.1961,12.1522,70.7,71,78,3.89,AO,1638145366
kholmogory,64.2229,41.656,5.11,96,100,5.68,RU,1638145426
sompeta,18.9333,84.6,71.13,68,73,7.07,IN,1638145427
benjamin aceval,-24.9667,-57.5667,75.34,87,86,4.88,PY,1638145427
castro,-24.7911,-50.0119,68.79,61,91,4.65,BR,1638145155
ostrovnoy,68.0531,39.5131,10.45,82,85,9.95,RU,1638145268
raymond,43.9015,-70.4703,30.02,47,95,1.45,US,1638145428
roald,62.5833,6.1333,28.54,69,20,12.66,NO,1638145428
san cristobal,7.7669,-72.225,73.58,92,61,1.12,VE,1638145223
novo aripuana,-5.1206,-60.3797,76.03,93,94,0.89,BR,1638145209
iqaluit,63.7506,-68.5145,24.53,63,90,11.5,CA,1638145211
roma,43.2128,-75.4557,33.66,93,90,4.61,US,1638145182
zyryanka,65.75,150.85,-22.38,97,100,4.41,RU,1638145137
cidreira,-30.1811,-50.2056,71.1,89,100,8.99,BR,1638145430
saint george,37.1041,-113.5841,72.07,19,1,0.0,US,1638145430
middelburg,-25.7751,29.4648,62.92,67,6,5.03,ZA,1638145431
baykit,61.67,96.37,13.8,90,99,10.22,RU,1638145431
quang ngai,15.1167,108.8,75.15,95,100,13.02,VN,1638145431
dikson,73.5069,80.5464,-14.89,100,100,14.65,RU,1638145432
constantine,36.365,6.6147,41.18,65,35,16.78,DZ,1638145323
ambanja,-13.6833,48.45,73.87,95,95,1.63,MG,1638145432
eureka,40.8021,-124.1637,54.79,93,63,5.03,US,1638145172
brooks,50.5834,-111.8851,52.43,75,58,1.14,CA,1638145433
faanui,-16.4833,-151.75,81.66,72,79,9.6,PF,1638145433
gisborne,-38.6533,178.0042,70.25,67,41,11.05,NZ,1638145434
san patricio,28.017,-97.5169,62.46,68,100,11.12,US,1638145434
never,46.9896,3.159,29.95,88,100,8.23,FR,1638145435
marrakesh,31.6315,-8.0083,48.27,71,0,5.75,MA,1638145435
churapcha,62.0025,132.4325,-4.59,99,100,4.52,RU,1638145436
butaritari,3.0707,172.7902,81.73,78,99,12.46,KI,1638145436
porto novo,6.4965,2.6036,84.02,83,54,5.77,BJ,1638145437
komsomolskiy,40.4272,71.7189,34.52,69,60,52.93,UZ,1638145437
bengkulu,-3.8004,102.2655,77.5,82,97,5.86,ID,1638145437
marion,39.7684,-86.1555,35.92,61,40,8.05,US,1638145371
saldanha,-33.0117,17.9442,60.85,85,47,5.26,ZA,1638145185
alyangula,-13.8483,136.4192,89.47,55,74,4.61,AU,1638145438
nioro,13.35,-15.75,81.75,25,21,12.21,GM,1638145439
collie,-33.3667,116.15,66.6,59,76,5.53,AU,1638145440
mehamn,71.0357,27.8492,12.42,90,43,16.69,NO,1638145440
bathsheba,13.2167,-59.5167,81.21,78,20,13.8,BB,1638145210
mandalgovi,45.7625,106.2708,16.43,89,71,13.69,MN,1638145441
acapulco,16.8634,-99.8901,80.42,69,40,4.61,MX,1638145331
tarrega,41.647,1.1396,42.78,92,51,7.07,ES,1638145442
upata,8.0086,-62.3989,70.88,97,93,4.0,VE,1638145442
jiuquan,39.7432,98.5174,15.94,59,0,3.89,CN,1638145442
brewster,41.3973,-73.6171,36.19,80,90,0.0,US,1638145443
ostersund,63.1792,14.6357,12.65,92,99,5.75,SE,1638145443
henties bay,-22.116,14.2845,58.68,93,0,3.98,NA,1638145444
cacule,-14.5033,-42.2222,70.83,91,77,1.86,BR,1638145444
jalu,29.0331,21.5482,74.37,21,95,12.95,LY,1638145505
santa eulalia,-11.85,-76.6833,36.77,77,82,2.64,PE,1638145505
pakxan,18.3778,103.6601,61.43,81,99,4.92,LA,1638145506
deputatskiy,69.3,139.9,-12.44,96,100,5.01,RU,1638145506
dhidhdhoo,6.8833,73.1,79.84,80,97,8.52,MV,1638145301
rakai,-0.72,31.4839,59.77,91,84,3.0,UG,1638145507
smithers,54.7804,-127.1743,39.52,70,40,5.75,CA,1638145219
abha,18.2164,42.5053,50.25,43,0,0.0,SA,1638145508
los llanos de aridane,28.6585,-17.9182,62.35,72,90,14.97,ES,1638145509
high level,58.5169,-117.136,17.71,93,90,5.75,CA,1638145509
ndola,-12.9587,28.6366,63.05,75,38,4.18,ZM,1638145509
bethel,41.3712,-73.414,36.18,80,90,0.0,US,1638145510
provideniya,64.3833,-173.3,-5.69,59,0,8.95,RU,1638145510
eyemouth,55.8713,-2.0901,37.76,76,82,12.28,GB,1638145511
havelock,34.8791,-76.9013,55.35,52,100,6.73,US,1638145511
fort frances,48.5999,-93.4003,19.62,73,1,0.0,CA,1638145264
korsakov,46.6328,142.7813,33.64,81,85,12.64,RU,1638145512
paracatu,-17.2222,-46.8747,70.93,87,47,4.18,BR,1638145512
cabo san lucas,22.8909,-109.9124,78.1,73,90,6.91,MX,1638145513
